State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier
Punjab,10.49,KTM,125 Duke,"? 1,54,031.00",2023,312,Hybrid,96.42,Second,2023,Expired,Dealer,"? 1,06,303.81",Tier 1
West Bengal,74.92,Hero,Glamour,"? 1,02,025.00",2023,173,Hybrid,93.23,Second,2024,Expired,Individual,"? 53,694.45",Tier 2
Tamil Nadu,72.79,Hero,Xtreme 160R,"? 2,55,014.00",2017,512,Electric,84.19,Second,2019,Active,Individual,"? 1,75,449.23",Tier 1
Tamil Nadu,65.94,Kawasaki,Versys 650,"? 2,67,420.00",2018,551,Electric,70.7,Second,2023,Not Available,Individual,"? 1,69,538.30",Tier 3
Madhya Pradesh,58.29,Hero,Passion Pro,"? 3,56,491.00",2024,600,Petrol,44.85,Third,2024,Expired,Dealer,"? 2,34,359.11",Tier 1
Gujarat,46.80,Kawasaki,Ninja 300,"? 50,255.00",2021,668,Electric,90.13,Third,2023,Active,Individual,"? 35,798.05",Metro
Madhya Pradesh,52.76,Kawasaki,Z650,"? 3,50,861.00",2016,284,Petrol,41.96,Second,2020,Not Available,Individual,"? 2,21,638.56",Tier 1
Maharashtra,27.66,Royal Enfield,Himalayan,"? 78,017.00",2017,675,Electric,70.37,Second,2019,Not Available,Individual,"? 33,234.84",Tier 3
West Bengal,68.08,Honda,Unicorn,"? 1,82,228.00",2018,346,Hybrid,81.25,Second,2018,Active,Dealer,"? 80,726.79",Metro
Rajasthan,40.11,Hero,Xtreme 160R,"? 2,82,786.00",2019,962,Hybrid,84.28,Third,2020,Active,Individual,"? 1,59,718.72",Tier 3
Rajasthan,58.51,Bajaj,Dominar 400,"? 80,140.00",2024,879,Petrol,58.14,Third,2024,Not Available,Dealer,"? 33,428.10",Tier 1
Gujarat,48.88,TVS,Sport,"? 1,90,162.00",2018,570,Hybrid,86.54,Third,2021,Expired,Dealer,"? 84,586.16",Tier 2
Karnataka,62.24,Kawasaki,Vulcan S,"? 2,29,913.00",2024,927,Petrol,28.65,First,2024,Not Available,Individual,"? 98,708.29",Tier 1
Uttar Pradesh,7.06,Yamaha,Ray ZR,"? 2,79,619.00",2019,925,Hybrid,71.08,Third,2022,Expired,Individual,"? 1,88,241.50",Tier 1
Karnataka,15.85,Kawasaki,Ninja 400,"? 2,44,149.00",2015,154,Electric,94.67,Second,2015,Active,Dealer,"? 1,75,690.43",Metro
Rajasthan,35.42,Hero,Splendor Plus,"? 1,85,512.00",2019,473,Petrol,51.98,Second,2024,Active,Individual,"? 1,11,048.37",Tier 1
Karnataka,60.16,Kawasaki,Ninja 400,"? 1,36,328.00",2022,858,Petrol,40.77,First,2022,Not Available,Individual,"? 75,146.56",Tier 1
Uttar Pradesh,76.73,Kawasaki,Z650,"? 3,16,175.00",2022,169,Electric,76.01,First,2022,Active,Individual,"? 1,27,464.43",Tier 2
Rajasthan,6.46,KTM,250 Duke,"? 2,99,212.00",2019,196,Hybrid,76.9,Third,2021,Not Available,Dealer,"? 1,52,855.25",Tier 3
Uttar Pradesh,6.78,Kawasaki,Vulcan S,"? 1,04,328.00",2023,252,Electric,83.69,First,2023,Active,Individual,"? 68,226.00",Metro
Punjab,66.39,TVS,Apache RTR 160,"? 3,90,899.00",2023,644,Petrol,40.48,Third,2023,Expired,Dealer,"? 2,98,916.81",Tier 1
West Bengal,46.68,Kawasaki,Ninja 400,"? 2,85,334.00",2016,445,Hybrid,72.84,First,2016,Not Available,Dealer,"? 2,25,585.18",Tier 3
Gujarat,5.64,Kawasaki,Z650,"? 91,034.00",2019,200,Petrol,36.02,Third,2021,Not Available,Individual,"? 36,463.79",Tier 1
Rajasthan,57.02,TVS,Ronin,"? 1,34,457.00",2017,994,Petrol,41.35,Second,2024,Active,Dealer,"? 90,172.51",Tier 1
Tamil Nadu,52.14,Bajaj,Dominar 400,"? 1,89,087.00",2024,628,Electric,90.33,Third,2024,Expired,Individual,"? 1,47,429.82",Tier 1
Rajasthan,26.85,Kawasaki,Vulcan S,"? 3,20,245.00",2021,250,Petrol,34.5,Second,2024,Active,Dealer,"? 2,33,236.37",Metro
Gujarat,8.25,TVS,Ronin,"? 92,637.00",2024,239,Hybrid,73.95,First,2024,Expired,Dealer,"? 62,607.80",Tier 2
Punjab,72.92,KTM,250 Duke,"? 1,38,246.00",2018,186,Electric,77.48,Third,2021,Not Available,Individual,"? 93,256.17",Metro
Uttar Pradesh,41.00,Hero,Glamour,"? 2,30,161.00",2024,241,Petrol,56.5,Third,2024,Expired,Individual,"? 1,62,314.81",Tier 1
Karnataka,39.84,Honda,Activa,"? 2,12,856.00",2024,241,Electric,91.36,Third,2024,Not Available,Individual,"? 88,084.10",Tier 3
Maharashtra,44.27,Hero,Xtreme 160R,"? 2,95,592.00",2024,897,Electric,92.04,First,2024,Expired,Dealer,"? 1,85,852.07",Metro
Uttar Pradesh,23.63,Bajaj,Avenger 220,"? 1,43,664.00",2019,574,Petrol,43.48,First,2019,Expired,Dealer,"? 98,432.09",Metro
Gujarat,63.66,Hero,Passion Pro,"? 2,89,530.00",2024,264,Hybrid,61.04,Second,2024,Active,Individual,"? 2,12,409.79",Tier 3
Delhi,69.83,KTM,390 Adventure,"? 1,97,335.00",2023,227,Petrol,35.33,First,2023,Expired,Individual,"? 1,54,109.62",Tier 1
Tamil Nadu,11.53,Kawasaki,Versys 650,"? 67,799.00",2015,527,Petrol,57.32,Second,2015,Not Available,Dealer,"? 34,408.97",Metro
Karnataka,45.66,KTM,125 Duke,"? 3,55,417.00",2015,920,Hybrid,85.07,Third,2015,Active,Individual,"? 2,76,183.78",Tier 2
Maharashtra,27.44,Royal Enfield,Interceptor 650,"? 1,19,041.00",2019,448,Electric,97.59,Second,2021,Not Available,Individual,"? 58,909.03",Metro
Tamil Nadu,35.05,Hero,HF Deluxe,"? 1,84,381.00",2016,379,Hybrid,87.64,Third,2024,Expired,Individual,"? 1,05,140.82",Metro
West Bengal,77.43,Royal Enfield,Classic 350,"? 3,96,283.00",2015,485,Electric,67.23,First,2015,Not Available,Dealer,"? 1,98,294.51",Tier 1
Madhya Pradesh,40.70,Yamaha,Ray ZR,"? 1,91,189.00",2019,491,Petrol,44.6,Third,2020,Not Available,Dealer,"? 1,22,163.09",Tier 1
Maharashtra,18.08,Honda,Dio,"? 1,36,354.00",2022,552,Electric,92.75,Third,2024,Expired,Individual,"? 68,227.36",Tier 2
Rajasthan,36.98,TVS,Sport,"? 3,23,047.00",2015,955,Petrol,39.8,Third,2016,Expired,Dealer,"? 2,54,477.63",Tier 1
Rajasthan,36.52,Bajaj,Avenger 220,"? 3,20,385.00",2017,521,Hybrid,79.25,First,2017,Active,Individual,"? 2,00,232.01",Tier 3
Rajasthan,54.32,Hero,Glamour,"? 3,24,515.00",2022,644,Electric,90.68,Third,2022,Active,Dealer,"? 1,74,378.64",Metro
Uttar Pradesh,38.65,TVS,Jupiter,"? 70,763.00",2022,595,Hybrid,89.36,First,2022,Expired,Dealer,"? 41,701.52",Tier 3
Karnataka,27.30,Bajaj,Dominar 400,"? 3,44,227.00",2023,543,Hybrid,87.25,First,2023,Expired,Individual,"? 2,74,536.52",Tier 1
West Bengal,20.94,KTM,250 Duke,"? 1,90,042.00",2023,778,Hybrid,76.69,First,2023,Active,Dealer,"? 1,23,025.24",Tier 1
Rajasthan,13.92,Honda,Unicorn,"? 1,71,628.00",2017,843,Electric,90.41,Third,2024,Not Available,Dealer,"? 1,09,812.79",Tier 2
Rajasthan,18.93,Honda,CBR 650R,"? 2,83,436.00",2015,268,Petrol,25.91,Second,2024,Expired,Dealer,"? 1,83,923.36",Metro
Punjab,46.56,Royal Enfield,Hunter 350,"? 3,73,399.00",2022,872,Petrol,32.83,Second,2024,Not Available,Individual,"? 1,75,669.87",Metro
Tamil Nadu,26.22,TVS,NTorq 125,"? 1,23,276.00",2015,760,Petrol,55.81,First,2015,Active,Individual,"? 95,156.48",Tier 2
Tamil Nadu,17.92,Hero,Xtreme 160R,"? 1,24,335.00",2023,999,Hybrid,76.59,Second,2023,Not Available,Dealer,"? 54,446.58",Tier 1
Maharashtra,63.62,Yamaha,R15 V4,"? 3,07,090.00",2024,786,Hybrid,89.65,Third,2024,Active,Individual,"? 1,38,858.01",Tier 2
Gujarat,5.59,Yamaha,Ray ZR,"? 3,13,878.00",2018,940,Petrol,25.9,First,2018,Not Available,Dealer,"? 1,45,482.77",Tier 3
Madhya Pradesh,49.39,Kawasaki,Versys 650,"? 66,077.00",2020,201,Petrol,45.63,Second,2021,Active,Individual,"? 50,392.43",Metro
Punjab,55.42,Kawasaki,Versys 650,"? 2,66,190.00",2020,600,Hybrid,67.57,Third,2024,Active,Individual,"? 1,82,173.77",Metro
West Bengal,21.70,Hero,Splendor Plus,"? 2,19,933.00",2017,166,Hybrid,60.13,Third,2022,Expired,Individual,"? 1,00,871.70",Tier 1
Maharashtra,14.61,Honda,CBR 650R,"? 1,65,848.00",2021,349,Hybrid,77.46,Second,2023,Expired,Dealer,"? 1,31,251.04",Tier 3
Uttar Pradesh,79.10,Yamaha,Ray ZR,"? 3,92,168.00",2020,330,Electric,72.98,Third,2020,Expired,Dealer,"? 2,07,119.69",Tier 3
Rajasthan,47.47,Kawasaki,Vulcan S,"? 78,641.00",2016,711,Electric,80.79,Third,2017,Active,Dealer,"? 43,177.52",Tier 2
Uttar Pradesh,75.50,KTM,390 Adventure,"? 2,20,407.00",2023,117,Hybrid,78.97,Third,2023,Active,Dealer,"? 93,683.86",Tier 2
West Bengal,47.49,Hero,Passion Pro,"? 3,81,790.00",2016,283,Electric,83.53,Second,2024,Active,Individual,"? 2,67,916.56",Tier 1
Delhi,67.62,Yamaha,Fascino 125,"? 1,80,496.00",2019,876,Electric,64.37,Second,2024,Not Available,Dealer,"? 1,10,765.63",Tier 2
Rajasthan,36.45,TVS,Apache RTR 160,"? 3,61,202.00",2023,144,Hybrid,69.98,Second,2024,Active,Dealer,"? 1,96,796.95",Tier 2
Gujarat,31.84,Kawasaki,Versys 650,"? 2,91,660.00",2018,147,Electric,65.48,Third,2019,Not Available,Dealer,"? 1,99,292.17",Tier 2
Rajasthan,64.04,KTM,125 Duke,"? 3,20,230.00",2024,131,Electric,78.33,Third,2024,Not Available,Dealer,"? 2,18,714.20",Tier 1
Gujarat,72.06,Royal Enfield,Meteor 350,"? 3,98,534.00",2018,320,Electric,89.14,Second,2018,Expired,Individual,"? 2,68,621.50",Metro
West Bengal,48.46,TVS,Jupiter,"? 3,04,984.00",2023,694,Hybrid,93.61,First,2023,Not Available,Dealer,"? 1,36,765.86",Tier 1
Madhya Pradesh,60.32,Hero,Passion Pro,"? 1,49,196.00",2022,296,Petrol,58.49,Second,2023,Expired,Individual,"? 63,500.25",Tier 1
Uttar Pradesh,69.84,KTM,RC 390,"? 1,86,622.00",2017,546,Electric,71.67,Second,2021,Expired,Individual,"? 1,45,013.34",Tier 3
Maharashtra,10.61,Honda,Unicorn,"? 3,69,640.00",2023,324,Electric,76.25,Third,2024,Expired,Dealer,"? 2,88,612.75",Tier 1
Tamil Nadu,16.40,Hero,Xtreme 160R,"? 1,97,120.00",2024,606,Electric,64.56,First,2024,Active,Individual,"? 1,24,052.96",Tier 2
Delhi,16.22,KTM,RC 390,"? 51,538.00",2016,821,Petrol,38.16,Third,2017,Expired,Dealer,"? 25,621.58",Metro
West Bengal,64.99,Honda,Unicorn,"? 1,16,927.00",2016,838,Petrol,34.54,Third,2017,Expired,Dealer,"? 73,569.88",Tier 1
Madhya Pradesh,29.08,Hero,Passion Pro,"? 3,93,384.00",2017,320,Electric,77.41,First,2017,Expired,Individual,"? 1,72,152.67",Metro
Uttar Pradesh,56.77,TVS,Apache RTR 160,"? 2,83,111.00",2019,157,Electric,82.91,Third,2022,Not Available,Dealer,"? 1,26,686.01",Tier 2
Punjab,64.09,Bajaj,CT 100,"? 1,19,036.00",2018,209,Hybrid,90.03,Second,2023,Expired,Dealer,"? 85,305.12",Tier 1
Karnataka,42.48,Royal Enfield,Classic 350,"? 3,09,665.00",2018,199,Petrol,52.97,Third,2018,Expired,Individual,"? 2,43,371.34",Metro
Maharashtra,69.34,Yamaha,FZ V3,"? 2,32,258.00",2019,130,Electric,90.42,Third,2021,Expired,Dealer,"? 1,41,412.33",Tier 1
Punjab,27.56,Bajaj,Pulsar 150,"? 1,83,048.00",2020,756,Electric,97.01,Third,2020,Not Available,Individual,"? 74,641.46",Tier 1
Karnataka,67.34,Bajaj,Dominar 400,"? 3,08,729.00",2024,923,Hybrid,67.87,Second,2024,Not Available,Dealer,"? 1,28,193.61",Tier 2
Tamil Nadu,28.17,Kawasaki,Vulcan S,"? 2,14,371.00",2023,500,Electric,95.52,Second,2024,Active,Individual,"? 87,261.72",Tier 3
Rajasthan,35.54,Kawasaki,Z650,"? 2,61,821.00",2018,191,Petrol,51.28,Third,2019,Not Available,Dealer,"? 2,06,891.01",Tier 3
Punjab,71.15,Honda,CBR 650R,"? 1,37,272.00",2020,322,Hybrid,73.82,Second,2022,Active,Dealer,"? 56,662.45",Tier 1
Uttar Pradesh,66.43,Royal Enfield,Himalayan,"? 3,40,481.00",2015,335,Hybrid,68.18,Third,2021,Expired,Individual,"? 2,45,023.63",Tier 2
Rajasthan,73.37,Bajaj,Platina 110,"? 3,03,965.00",2018,238,Hybrid,77.91,First,2018,Expired,Dealer,"? 2,38,721.44",Metro
Rajasthan,59.92,KTM,RC 390,"? 2,19,760.00",2021,268,Petrol,36.29,Third,2021,Expired,Dealer,"? 1,56,469.29",Tier 2
Tamil Nadu,56.95,Bajaj,CT 100,"? 3,87,221.00",2020,636,Petrol,33.88,Second,2023,Expired,Dealer,"? 1,79,850.48",Metro
West Bengal,59.96,Yamaha,R15 V4,"? 2,44,043.00",2019,836,Hybrid,83.7,First,2019,Active,Dealer,"? 1,84,696.60",Metro
Tamil Nadu,29.34,Royal Enfield,Hunter 350,"? 1,38,083.00",2017,846,Petrol,53.62,First,2017,Not Available,Individual,"? 98,133.03",Tier 3
Gujarat,31.39,Bajaj,Platina 110,"? 2,35,238.00",2015,592,Hybrid,66.71,Third,2016,Expired,Dealer,"? 1,84,930.77",Tier 2
Delhi,64.38,Honda,Unicorn,"? 2,85,279.00",2023,602,Hybrid,94.33,Third,2023,Not Available,Dealer,"? 1,90,528.50",Tier 1
Karnataka,13.98,Honda,Activa,"? 1,13,947.00",2022,954,Hybrid,79.39,Third,2023,Expired,Individual,"? 52,066.94",Metro
Tamil Nadu,74.97,Royal Enfield,Himalayan,"? 3,46,806.00",2021,829,Electric,83.27,First,2021,Active,Individual,"? 1,96,124.43",Tier 1
West Bengal,40.48,Hero,Splendor Plus,"? 3,91,177.00",2019,157,Electric,88.84,Third,2020,Expired,Individual,"? 2,24,343.73",Tier 2
Gujarat,64.45,Royal Enfield,Himalayan,"? 67,129.00",2016,784,Hybrid,65.83,Second,2020,Active,Dealer,"? 32,910.79",Tier 2
Karnataka,35.74,Honda,Unicorn,"? 79,318.00",2015,352,Petrol,44.55,First,2015,Expired,Dealer,"? 50,205.31",Metro
Madhya Pradesh,72.63,Kawasaki,Z650,"? 2,39,001.00",2020,315,Petrol,38,Third,2024,Active,Individual,"? 1,10,339.56",Tier 3
Punjab,30.97,Yamaha,Ray ZR,"? 2,12,299.00",2020,832,Electric,82.08,First,2020,Active,Dealer,"? 1,05,218.05",Tier 1
Tamil Nadu,41.34,Honda,Dio,"? 77,193.00",2020,706,Petrol,49.13,Third,2020,Not Available,Individual,"? 45,802.57",Tier 2
Tamil Nadu,53.30,Yamaha,R15 V4,"? 99,533.00",2021,410,Electric,63.37,Second,2024,Active,Individual,"? 50,860.56",Metro
Uttar Pradesh,21.56,Yamaha,Fascino 125,"? 3,60,691.00",2015,853,Electric,64.41,Second,2018,Not Available,Dealer,"? 2,87,187.71",Tier 2
Rajasthan,64.62,KTM,390 Adventure,"? 2,39,982.00",2015,121,Hybrid,69.03,Second,2015,Active,Individual,"? 1,00,348.07",Tier 1
Karnataka,73.42,Hero,Splendor Plus,"? 1,71,024.00",2017,677,Electric,75.31,Second,2020,Active,Dealer,"? 1,05,010.78",Metro
Gujarat,5.33,Yamaha,MT-15,"? 53,212.00",2015,951,Electric,76.75,First,2015,Not Available,Individual,"? 42,229.69",Metro
West Bengal,60.69,Bajaj,Dominar 400,"? 2,62,524.00",2022,848,Hybrid,85.47,First,2022,Not Available,Individual,"? 1,36,938.55",Tier 3
Gujarat,28.08,Bajaj,Dominar 400,"? 3,14,916.00",2024,395,Hybrid,62.98,Second,2024,Active,Dealer,"? 2,50,720.88",Tier 3
Madhya Pradesh,25.38,Kawasaki,Vulcan S,"? 3,56,045.00",2017,360,Petrol,31.76,Third,2023,Not Available,Individual,"? 2,17,375.20",Tier 1
Madhya Pradesh,27.03,TVS,Sport,"? 1,29,726.00",2024,503,Electric,96.5,Third,2024,Active,Individual,"? 91,806.33",Tier 3
Uttar Pradesh,5.88,Yamaha,Ray ZR,"? 3,04,931.00",2015,588,Hybrid,66.92,First,2015,Expired,Individual,"? 1,79,413.57",Tier 3
Maharashtra,56.24,Bajaj,Platina 110,"? 3,11,435.00",2019,363,Petrol,33.72,First,2019,Not Available,Individual,"? 1,65,464.78",Tier 2
Punjab,54.47,Bajaj,Avenger 220,"? 3,99,627.00",2019,202,Hybrid,92.53,Second,2021,Expired,Dealer,"? 2,91,600.18",Metro
Punjab,31.19,TVS,NTorq 125,"? 3,58,251.00",2023,986,Electric,92.38,First,2023,Not Available,Dealer,"? 2,71,257.60",Metro
Punjab,17.83,TVS,Sport,"? 3,40,066.00",2021,742,Electric,86.51,Third,2023,Active,Individual,"? 1,83,784.12",Tier 2
Uttar Pradesh,52.00,Bajaj,CT 100,"? 1,54,358.00",2017,671,Hybrid,74.52,Second,2021,Not Available,Dealer,"? 65,306.95",Tier 3
West Bengal,77.88,KTM,Duke 200,"? 3,36,993.00",2023,228,Petrol,58.89,Third,2024,Expired,Dealer,"? 2,55,309.82",Tier 3
Karnataka,56.05,KTM,390 Adventure,"? 1,48,715.00",2020,432,Hybrid,74.58,Third,2021,Not Available,Dealer,"? 77,760.88",Tier 3
Delhi,47.03,TVS,NTorq 125,"? 1,04,485.00",2023,845,Petrol,48.03,Second,2023,Not Available,Dealer,"? 77,850.70",Tier 3
Delhi,76.34,Royal Enfield,Interceptor 650,"? 3,71,996.00",2023,230,Hybrid,61.87,Second,2024,Active,Dealer,"? 2,14,388.22",Tier 2
Delhi,45.64,Royal Enfield,Himalayan,"? 2,40,333.00",2020,851,Electric,87.89,Second,2021,Not Available,Individual,"? 1,86,137.36",Metro
Rajasthan,78.30,Royal Enfield,Himalayan,"? 1,75,782.00",2021,236,Electric,74.72,Second,2021,Expired,Dealer,"? 1,39,732.72",Tier 3
Gujarat,75.34,Royal Enfield,Himalayan,"? 2,89,703.00",2021,585,Hybrid,84.64,Third,2021,Expired,Individual,"? 2,19,788.75",Tier 1
Madhya Pradesh,8.13,Honda,Dio,"? 2,29,274.00",2022,971,Electric,90.73,Third,2023,Not Available,Dealer,"? 1,14,766.44",Tier 1
West Bengal,65.43,TVS,NTorq 125,"? 1,03,037.00",2021,201,Electric,88.18,First,2021,Not Available,Dealer,"? 47,348.14",Tier 2
Maharashtra,22.96,Bajaj,Avenger 220,"? 3,63,368.00",2019,377,Electric,60.03,First,2019,Not Available,Dealer,"? 2,14,966.59",Tier 3
West Bengal,57.95,Royal Enfield,Hunter 350,"? 2,76,694.00",2022,924,Petrol,41.82,First,2022,Not Available,Dealer,"? 1,31,949.78",Tier 3
Punjab,20.30,Bajaj,Pulsar 150,"? 3,19,161.00",2024,341,Electric,73.56,First,2024,Active,Dealer,"? 1,33,429.07",Metro
Tamil Nadu,28.03,Hero,Xtreme 160R,"? 70,058.00",2019,446,Electric,86.83,Second,2021,Expired,Individual,"? 35,004.10",Tier 2
Uttar Pradesh,10.69,KTM,Duke 200,"? 62,934.00",2020,456,Petrol,34.99,Third,2020,Active,Individual,"? 33,347.43",Metro
Karnataka,26.15,KTM,RC 390,"? 1,77,806.00",2022,319,Electric,71.16,Third,2024,Not Available,Individual,"? 97,863.42",Metro
Punjab,19.90,Yamaha,MT-15,"? 3,38,018.00",2021,369,Electric,79.21,Second,2021,Expired,Dealer,"? 2,70,226.14",Tier 3
Karnataka,32.68,Hero,Glamour,"? 3,64,166.00",2021,556,Petrol,57.7,Third,2024,Active,Individual,"? 2,59,229.47",Tier 3
Tamil Nadu,49.59,Royal Enfield,Hunter 350,"? 3,40,023.00",2024,244,Hybrid,84.87,Second,2024,Expired,Dealer,"? 2,42,110.22",Metro
Gujarat,15.76,Kawasaki,Z650,"? 2,74,562.00",2023,935,Electric,68.76,Third,2023,Expired,Dealer,"? 1,75,227.99",Tier 1
Madhya Pradesh,68.66,Yamaha,Ray ZR,"? 3,61,741.00",2016,408,Petrol,28.54,Third,2022,Expired,Dealer,"? 2,56,566.47",Tier 3
Karnataka,64.35,Yamaha,R15 V4,"? 1,42,375.00",2022,789,Hybrid,70.07,First,2022,Active,Dealer,"? 77,767.88",Tier 1
Rajasthan,48.24,Yamaha,Ray ZR,"? 1,13,339.00",2019,345,Electric,86.5,Third,2020,Active,Dealer,"? 65,533.92",Tier 1
Gujarat,8.38,Royal Enfield,Meteor 350,"? 1,38,444.00",2022,790,Hybrid,67.21,Second,2024,Expired,Individual,"? 56,987.36",Tier 3
West Bengal,40.70,TVS,Jupiter,"? 2,98,470.00",2016,828,Petrol,26.67,First,2016,Expired,Individual,"? 1,46,014.69",Tier 3
Tamil Nadu,30.12,Kawasaki,Versys 650,"? 96,675.00",2017,851,Hybrid,71.06,Second,2021,Not Available,Dealer,"? 76,336.85",Tier 1
Uttar Pradesh,50.32,Honda,Shine,"? 1,63,818.00",2023,927,Petrol,56.24,First,2023,Not Available,Individual,"? 83,249.94",Tier 2
Uttar Pradesh,72.65,Kawasaki,Z650,"? 1,89,904.00",2018,759,Petrol,39.09,Second,2024,Expired,Dealer,"? 1,35,973.04",Tier 3
Madhya Pradesh,6.10,KTM,390 Adventure,"? 3,85,491.00",2019,326,Electric,81.46,Third,2019,Expired,Dealer,"? 2,41,419.66",Tier 1
Madhya Pradesh,21.04,Honda,Unicorn,"? 1,52,458.00",2018,552,Electric,76.89,Second,2022,Active,Dealer,"? 1,21,390.60",Metro
Tamil Nadu,61.12,Kawasaki,Versys 650,"? 3,06,105.00",2022,222,Hybrid,63.56,Third,2022,Active,Individual,"? 1,36,651.47",Metro
Uttar Pradesh,39.37,Honda,Unicorn,"? 1,91,747.00",2017,867,Petrol,47.94,First,2017,Expired,Dealer,"? 1,34,427.58",Tier 3
Madhya Pradesh,54.79,TVS,Jupiter,"? 1,31,703.00",2024,258,Hybrid,97.56,Third,2024,Expired,Dealer,"? 57,880.55",Metro
Delhi,56.03,TVS,NTorq 125,"? 1,54,990.00",2021,899,Petrol,48.59,Third,2022,Expired,Dealer,"? 1,06,715.17",Tier 2
Punjab,8.73,Royal Enfield,Classic 350,"? 3,17,087.00",2022,570,Petrol,35.18,First,2022,Not Available,Dealer,"? 1,73,525.81",Tier 2
Tamil Nadu,67.05,TVS,NTorq 125,"? 2,83,718.00",2022,555,Electric,76.97,Second,2022,Not Available,Dealer,"? 1,30,361.40",Metro
Madhya Pradesh,30.29,TVS,Apache RTR 160,"? 1,28,083.00",2015,834,Petrol,52.4,First,2015,Not Available,Dealer,"? 97,976.08",Tier 2
Gujarat,37.90,Bajaj,Pulsar 150,"? 2,07,608.00",2016,778,Petrol,36.41,First,2016,Expired,Individual,"? 1,65,721.13",Tier 1
Gujarat,77.30,TVS,Jupiter,"? 2,24,360.00",2016,165,Hybrid,64.2,Second,2017,Active,Dealer,"? 95,290.13",Tier 3
West Bengal,25.73,Honda,Activa,"? 3,93,048.00",2021,628,Hybrid,83.38,Third,2023,Not Available,Dealer,"? 3,02,601.37",Tier 3
Rajasthan,9.89,Hero,Passion Pro,"? 3,79,176.00",2015,498,Hybrid,67.56,Second,2022,Active,Dealer,"? 1,65,354.59",Tier 1
Uttar Pradesh,41.98,Kawasaki,Z650,"? 3,57,588.00",2021,860,Electric,61.76,Third,2022,Not Available,Individual,"? 1,47,714.27",Tier 1
Karnataka,10.25,TVS,NTorq 125,"? 1,84,228.00",2019,271,Hybrid,69.51,First,2019,Not Available,Dealer,"? 1,20,705.32",Metro
Maharashtra,38.26,Royal Enfield,Himalayan,"? 2,35,982.00",2020,794,Petrol,27.78,Third,2024,Active,Individual,"? 1,65,768.46",Tier 1
Karnataka,72.86,Royal Enfield,Classic 350,"? 3,26,527.00",2015,480,Petrol,50.69,First,2015,Active,Dealer,"? 2,09,764.47",Tier 1
Rajasthan,6.92,TVS,NTorq 125,"? 3,02,545.00",2015,720,Petrol,47.76,Second,2017,Not Available,Dealer,"? 1,38,369.22",Tier 2
West Bengal,67.97,Yamaha,Ray ZR,"? 3,95,678.00",2024,684,Petrol,36.94,Second,2024,Not Available,Dealer,"? 2,75,000.80",Tier 2
Karnataka,25.39,Kawasaki,Ninja 300,"? 2,32,034.00",2018,166,Hybrid,77.75,Third,2024,Not Available,Individual,"? 1,59,657.82",Metro
Uttar Pradesh,5.63,Bajaj,Platina 110,"? 2,88,444.00",2023,517,Electric,90.87,Third,2024,Not Available,Individual,"? 1,49,964.30",Metro
Gujarat,20.81,TVS,Sport,"? 2,03,155.00",2016,329,Electric,88.86,Second,2020,Expired,Dealer,"? 1,46,553.42",Tier 1
Madhya Pradesh,33.62,Bajaj,Dominar 400,"? 3,01,698.00",2015,435,Petrol,28.09,First,2015,Active,Dealer,"? 1,85,226.70",Tier 1
Maharashtra,78.28,KTM,Duke 200,"? 3,11,255.00",2024,360,Petrol,41.29,Third,2024,Expired,Individual,"? 2,28,628.66",Tier 3
Maharashtra,27.87,Yamaha,MT-15,"? 3,24,359.00",2024,965,Hybrid,76.74,Second,2024,Active,Dealer,"? 1,68,356.36",Tier 1
Rajasthan,67.59,KTM,390 Adventure,"? 94,298.00",2019,885,Electric,97.23,First,2019,Not Available,Individual,"? 47,807.22",Tier 3
Rajasthan,14.87,KTM,390 Adventure,"? 1,34,500.00",2019,376,Petrol,38.7,Second,2019,Expired,Dealer,"? 85,116.82",Tier 2
Karnataka,46.77,TVS,Apache RTR 160,"? 3,09,657.00",2019,691,Petrol,30.5,Second,2024,Expired,Individual,"? 1,71,116.50",Metro
Maharashtra,13.80,Royal Enfield,Himalayan,"? 1,86,201.00",2015,311,Petrol,40.53,Second,2020,Expired,Individual,"? 1,14,293.08",Tier 1
Madhya Pradesh,61.48,Yamaha,R15 V4,"? 1,33,692.00",2019,225,Hybrid,87.18,Third,2020,Active,Dealer,"? 83,542.80",Tier 3
Karnataka,10.24,KTM,125 Duke,"? 3,96,349.00",2023,878,Electric,87.31,First,2023,Not Available,Individual,"? 1,98,898.77",Tier 2
West Bengal,30.50,Bajaj,Avenger 220,"? 2,61,848.00",2018,310,Hybrid,97.9,First,2018,Expired,Individual,"? 1,68,827.57",Tier 3
Gujarat,45.31,Kawasaki,Ninja 300,"? 1,99,576.00",2015,650,Electric,98.4,First,2015,Expired,Individual,"? 1,59,257.48",Tier 1
Delhi,45.29,Yamaha,MT-15,"? 1,47,700.00",2017,675,Petrol,38.21,Third,2023,Expired,Individual,"? 71,458.76",Tier 1
Rajasthan,41.79,KTM,250 Duke,"? 74,711.00",2021,128,Electric,88.24,Second,2021,Active,Dealer,"? 31,983.98",Metro
Delhi,6.93,Royal Enfield,Interceptor 650,"? 2,38,406.00",2024,490,Electric,65.27,Third,2024,Active,Individual,"? 1,48,924.98",Metro
